region,country,land
Northern Africa,Algeria,Algeria
Northern Africa,Egypt,"Egypt, Arab Rep."
Northern Africa,Libya,Libya
Northern Africa,Morocco,Morocco
Northern Africa,Sudan,Sudan
Northern Africa,Tunisia,Tunisia
Middle Africa,Angola,Angola
Middle Africa,Cameroon,Cameroon
Middle Africa,"Central African Republic","Central African Republic"
Middle Africa,Chad,Chad
Middle Africa,Congo,"Congo, Rep."
Middle Africa,"Democratic Republic of the Congo","Congo, Dem. Rep."
Middle Africa,Gabon,Gabon
Middle Africa,"Sao Tome and Principe","Sao Tome and Principe"
Western Africa,Benin,Benin
Western Africa,Burkina Faso,Burkina Faso
Western Africa,Cabo Verde,Cabo Verde
Western Africa,Cote d'Ivoire,Cote d'Ivoire
Western Africa,Equatorial Guinea,Equatorial Guinea
Western Africa,Gambia,"Gambia, The"
Western Africa,Ghana,Ghana
Western Africa,Guinea,Guinea
Western Africa,Guinea-Bissau,Guinea-Bissau
Western Africa,Liberia,Liberia
Western Africa,Mauritania,Mauritania
Western Africa,Niger,Niger
Western Africa,Nigeria,Nigeria
Western Africa,Senegal,Senegal
Western Africa,Sierra Leone,Sierra Leone
Western Africa,Togo,Togo
Southern Africa,Botswana,Botswana
Southern Africa,Lesotho,Lesotho
Southern Africa,Namibia,Namibia
Southern Africa,South Africa,South Africa
Southern Africa,Eswatini,Eswatini
Eastern Africa,Burundi,Burundi
Eastern Africa,Comoros,Comoros
Eastern Africa,Djibouti,Djibouti
Eastern Africa,Eritrea,Eritrea
Eastern Africa,Ethiopia,Ethiopia
Eastern Africa,Kenya,Kenya
Eastern Africa,Madagascar,Madagascar
Eastern Africa,Malawi,Malawi
Eastern Africa,Mauritius,Mauritius
Eastern Africa,Mozambique,Mozambique
Eastern Africa,Rwanda,Rwanda
Eastern Africa,Seychelles,Seychelles
Eastern Africa,Somalia,Somalia
Eastern Africa,South Sudan,South Sudan
Eastern Africa,Uganda,Uganda
Eastern Africa,Tanzania,Tanzania
Eastern Africa,Zambia,Zambia
Eastern Africa,Zimbabwe,Zimbabwe
