Entity,Code,Year,happiness_score
Afghanistan,AFG,2024,1.721
Jamaica,JAM,2024,5.842
"Moldova, Republic of",MDA,2024,5.816
Mongolia,MNG,2024,5.696
Montenegro,MNE,2024,5.707
Morocco,MAR,2024,4.795
Myanmar,MMR,2024,4.354
Nepal,NPL,2024,5.158
"Netherlands, Kingdom of the",NLD,2024,7.319
New Zealand,NZL,2024,7.029
Nicaragua,NIC,2024,6.284
Niger,NER,2024,4.556
Nigeria,NGA,2024,4.881
North Macedonia,MKD,2024,5.369
Norway,NOR,2024,7.302
Pakistan,PAK,2024,4.657
Panama,PAN,2024,6.358
Mexico,MEX,2024,6.678
Mauritius,MUS,2024,5.816
Mauritania,MRT,2024,4.505
Lebanon,LBN,2024,2.707
Jordan,JOR,2024,4.186
Kazakhstan,KAZ,2024,6.188
Kenya,KEN,2024,4.47
Kosovo,XKX,2024,6.561
Kyrgyzstan,KGZ,2024,5.714
Latvia,LVA,2024,6.234
Liberia,LBR,2024,4.269
Malta,MLT,2024,6.346
Albania,ALB,2024,5.304
Luxembourg,LUX,2024,7.122
Madagascar,MDG,2024,4.228
Malawi,MWI,2024,3.421
Malaysia,MYS,2024,5.975
Mali,MLI,2024,4.232
Paraguay,PRY,2024,5.977
Peru,PER,2024,5.841
Philippines,PHL,2024,6.048
United Arab Emirates,ARE,2024,6.733
"Tanzania, United Republic of",TZA,2024,3.781
Thailand,THA,2024,5.976
Togo,TGO,2024,4.214
Tunisia,TUN,2024,4.422
Uganda,UGA,2024,4.372
Ukraine,UKR,2024,4.873
United Kingdom of Great Britain and Northern Ireland,GBR,2024,6.749
"Taiwan, Province of China",TWN,2024,6.503
United States of America,USA,2024,6.725
Uruguay,URY,2024,6.611
Uzbekistan,UZB,2024,6.195
"Venezuela, Bolivarian Republic of",VEN,2024,5.607
Viet Nam,VNM,2024,6.043
Zambia,ZMB,2024,3.502
Tajikistan,TJK,2024,5.281
Switzerland,CHE,2024,7.06
Poland,POL,2024,6.442
Sierra Leone,SLE,2024,3.245
Portugal,PRT,2024,6.03
Romania,ROU,2024,6.491
Russian Federation,RUS,2024,5.785
Saudi Arabia,SAU,2024,6.594
Senegal,SEN,2024,4.969
Serbia,SRB,2024,6.411
Singapore,SGP,2024,6.523
Sweden,SWE,2024,7.344
Slovakia,SVK,2024,6.257
Slovenia,SVN,2024,6.743
South Africa,ZAF,2024,5.422
"Korea, Republic of",KOR,2024,6.058
Spain,ESP,2024,6.421
Sri Lanka,LKA,2024,3.898
Japan,JPN,2024,6.06
Lithuania,LTU,2024,6.818
Côte d'Ivoire,CIV,2024,5.08
El Salvador,SLV,2024,6.469
Ecuador,ECU,2024,5.725
Dominican Republic,DOM,2024,5.823
Denmark,DNK,2024,7.583
Cyprus,CYP,2024,6.068
Croatia,HRV,2024,5.942
Costa Rica,CRI,2024,6.955
Italy,ITA,2024,6.324
Colombia,COL,2024,5.695
China,CHN,2024,5.973
Chile,CHL,2024,6.36
Chad,TCD,2024,4.471
Canada,CAN,2024,6.9
Cameroon,CMR,2024,4.874
Cambodia,KHM,2024,4.341
Burkina Faso,BFA,2024,4.548
Bulgaria,BGR,2024,5.463
Brazil,BRA,2024,6.272
Botswana,BWA,2024,3.383
Bosnia and Herzegovina,BIH,2024,5.877
"Bolivia, Plurinational State of",BOL,2024,5.784
Benin,BEN,2024,4.377
Belgium,BEL,2024,6.894
Bangladesh,BGD,2024,3.886
Bahrain,BHR,2024,5.959
Austria,AUT,2024,6.905
Australia,AUS,2024,7.057
Armenia,ARM,2024,5.455
Argentina,ARG,2024,6.188
Algeria,DZA,2024,5.364
Egypt,EGY,2024,3.977
Zimbabwe,ZWE,2024,3.341
Estonia,EST,2024,6.448
France,FRA,2024,6.609
Guatemala,GTM,2024,6.287
Hong Kong,HKG,2024,5.316
Greece,GRC,2024,5.934
Ghana,GHA,2024,4.289
Germany,DEU,2024,6.719
Georgia,GEO,2024,5.185
Hungary,HUN,2024,6.017
Iceland,ISL,2024,7.525
India,IND,2024,4.054
Guinea,GIN,2024,5.023
Gabon,GAB,2024,5.106
Finland,FIN,2024,7.741
Indonesia,IDN,2024,5.568
"Iran, Islamic Republic of",IRN,2024,4.923
Iraq,IRQ,2024,5.166
Ireland,IRL,2024,6.838
Ethiopia,ETH,2024,3.861
Israel,ISR,2024,7.341
Honduras,HND,2024,5.968
Lao People's Democratic Republic,LAO,2024,5.139
Azerbaijan,AZE,2024,4.893
Libya,LBY,2024,5.866
Kuwait,KWT,2024,6.951
Yemen,YEM,2024,3.561
Congo,COG,2024,5.221
Mozambique,MOZ,2024,5.216
Namibia,NAM,2024,4.832
Lesotho,LSO,2024,3.186
Comoros,COM,2024,3.566
"Congo, Democratic Republic of the",COD,2024,3.295
Gambia,GMB,2024,4.485
Czechia,CZE,2024,6.822
Türkiye,TUR,2024,4.975
"Palestine, State of",PSE,2024,4.879
Eswatini,SWZ,2024,3.502
